Brand,ABV,Calories
Crown Gold,3.5,117
Leinenkugel's BIG BUTT Dopplebock,5.8,194
Kona Koko Nut Brown Ale,5.5,184
Leinenkugel's Sunset Wheat,4.9,165
Bards Original Sorghum Malt Beer,4.6,155
Yuengling Porter,4.8,162
Aguila,3.9,132
Leinenkugel's Red Lager,4.9,166
Goose Island Oktoberfest,6.4,217
Samuel Adams Double Bock,9.5,323
New Planet Off Grid Pale Ale,5,170
Bitburger Light,2.8,96
Bud American Ale,5.3,182
Third Shift Amber Lager,5.3,182
Sierra Nevada Bigfoot,9.6,330
Shock Top Rasberry Wheat,5.2,179
Red Stripe Light,3.6,124
Samuel Adams Winter Lager,5.6,193
Samuel Adams Noble Pils,4.9,169
Leinenkugel's Creamy Dark,4.9,170
Sparks Iced Tea,8,278
Karl Strauss - Red Trolley Ale,5.8,202
Dogfish Head 60min IPA,6,209
Kona Pipeline Porter,5.3,185
Emu Draft,3,106
1554,5.6,198
Frederick Miller Classic Chocolate Lager,5.5,195
Emu Bitter,4,142
Michelob Honey Lager,4.9,174
Yuengling Chesterfield Ale,5.2,185
Samuel Adams Boston Lager,4.9,175
Goose Island India Pale Ale,5.9,211
New Planet Tread Lightly Ale,5,179
Sparks Blackberry,8,287
Michelob Ultra 19th Hole Light Tea & Lemonade,3.9,140
Pilsner Urquell,4.4,156
Chelada Bud Light,4.2,151
Goose Island Honkers Ale,4.3,155
Mike's Lite Hard Lemonade,3.2,117
Goose Island Nut Brown Ale,5.4,198
Hahn Premium Light,2.6,96
Cascade Premium Light,2.6,96
Magners Golden Draught,4.5,167
Chelada Budweiser,5,186
Anchor Porter,5.6,209
Karl Strauss - Amber Lager,4.2,161
Samuel Adams Cream Stout,4.9,190
Samuel Adams Chocolate Bock,5.8,230
Grolsch Blonde Lager,2.8,120
Leinenkugel's Berry Weiss,4.7,207
Tennents Sweetheart Stout,2,122
Coors Non-Alcoholic,0.5,58
Sharp's,0.4,58
Busch NA,0.4,60
O'Doul's,0.4,65
ODouls Amber,0.4,90
Kirin Free,0,39
